speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
15,accelerator,50,complete,3,3,1.8498352182527538,0.0,velocity_derived,0.0,0.0,1.8498352182527538,1.8498352182527538,0.0,0.0,0.0,0.0,0.0,,,4.127809524536133,6.827517032623291,-2.700024127960205,0.0,1.3495300070208032,49.10033161046438,,['simulator_acceleration_field_stuck'],,
15,accelerator,60,complete,3,3,2.0083625794781566,0.0,velocity_derived,0.0,0.0,2.0083625794781566,2.0083625794781566,0.0,0.0,0.0,0.0,0.0,,,4.123971939086914,7.116832256317139,-2.9943203926086426,0.0,1.3360609149967786,48.65047638951157,,['simulator_acceleration_field_stuck'],,
15,accelerator,70,complete,3,3,2.2478692348750857,0.0,velocity_derived,0.0,0.0,2.2478692348750857,2.2478692348750857,0.0,0.0,0.0,0.0,0.0,,,4.1422929763793945,7.479470252990723,-3.3444647789001465,0.0,1.3438140849757474,48.51146376025304,,['simulator_acceleration_field_stuck'],,
15,accelerator,80,complete,3,3,2.66783753670449,0.0,velocity_derived,0.0,0.0,2.66783753670449,2.66783753670449,0.0,0.0,0.0,0.0,0.0,,,4.149143218994141,8.092554092407227,-3.9534597396850586,0.0,1.3381882480171043,48.573136175956904,,['simulator_acceleration_field_stuck'],,
15,accelerator,90,complete,3,3,3.2554069710956703,0.0,velocity_derived,0.0,0.0,3.2554069710956703,3.2554069710956703,0.0,0.0,0.0,0.0,0.0,,,4.150598049163818,8.985567092895508,-4.834490776062012,0.0,1.3555689380154945,48.53285374323682,,['simulator_acceleration_field_stuck'],,
15,accelerator,100,complete,3,3,3.6880078439109916,0.0,velocity_derived,0.0,0.0,3.6880078439109916,3.6880078439109916,0.0,0.0,0.0,0.0,0.0,,,4.137784481048584,9.495355606079102,-5.354623317718506,0.0,1.3481518090120517,48.8863601601056,,['simulator_acceleration_field_stuck'],,
20,accelerator,0,complete,3,3,-0.3502929785345468,0.0,velocity_derived,0.0,0.0,-0.3502929785345468,0.3502929785345468,0.0,0.3502929785345468,0.0007082606539291492,0.6143013802320876,0.5617442442606566,,,5.514152526855469,5.0269951820373535,0.49455928802490234,0.0,1.3223232540185563,48.40772800588751,,['simulator_acceleration_field_stuck'],,
20,accelerator,10,complete,3,3,0.4749194857426035,0.0,velocity_derived,0.0,0.0,0.4749194857426035,0.4749194857426035,0.0,0.0,0.0,0.0,0.0,,,5.514416217803955,6.176232814788818,-0.6611237525939941,0.0,1.346307842002716,48.28019118072468,,['simulator_acceleration_field_stuck'],,
20,accelerator,20,complete,3,3,0.6987690120557422,0.0,velocity_derived,0.0,0.0,0.6987690120557422,0.6987690120557422,0.0,0.0,0.0,0.0,0.0,,,5.510892391204834,6.517508506774902,-1.0043058395385742,0.0,1.3439898010110483,48.736184848329195,,['simulator_acceleration_field_stuck'],,
20,accelerator,30,complete,3,3,0.859619499753386,0.0,velocity_derived,0.0,0.0,0.859619499753386,0.859619499753386,0.0,0.0,0.0,0.0,0.0,,,5.514944553375244,6.8352131843566895,-1.3202686309814453,0.0,1.341896258003544,47.64956746403458,,['simulator_acceleration_field_stuck'],,
